,Actual Markup,Ada Boosting,Ada Boosting Log,ElasticNet,ElasticNet Log,Face Value,Gradient Boosting,Gradient Boosting Log,Lasso,Lasso Log,Random Forest,Random Forest Log,Standard,Standard Log
2879,83.87387387387388,307.84395521652476,61.61101732876044,62.82704691923841,103.68798656169724,0.8956498673300101,92.16041238086697,69.8210902879931,55.402229081625364,88.58824925750305,73.99594883472086,89.74706723240827,54.34444399349826,103.68798656169724
2880,70.16949152542374,307.84395521652476,61.61101732876044,357.3821406077879,53.325704833988276,1.0699009754460698,126.73693185295188,65.61498932836102,298.21561108425453,75.9900363107421,68.21595154036594,73.96937588523939,293.01013405560343,53.325704833988276
2881,54.406779661016934,331.7147686457852,73.62341399267913,71.44677893600796,84.76275022469342,-0.39878693581786256,110.88251476735105,83.7428450090671,102.21119823603078,73.2012382171657,54.40677966101693,54.40677966101694,103.21922079240659,84.76275022469342
2882,115.54430379746836,292.9215286273199,114.38704108562813,49.53998130083852,113.80742974968749,0.0990733730851654,111.81779870375532,107.0928969392662,17.890380526957415,102.32497682370628,113.2469517961511,127.43158648121644,15.872446925692202,113.80742974968749
2883,238.64049436568516,316.02922654869315,77.31019980149891,114.95970042207799,109.53827194845123,-0.497861137289565,145.3243492850289,129.1042559811588,122.36925465070476,81.13716533453425,192.5013566497219,191.46929177141098,125.49234612790116,109.53827194845123
2884,68.34532374100719,357.2516794479639,45.4554910803754,-4.759466963522339,52.1543438279943,1.5926542997942492,76.72938865985111,37.65205717145395,3.940494361066328,43.01661296096948,57.29885820767463,28.888887794537517,8.433794953948507,52.1543438279943
2885,101.33333333333331,307.84395521652476,73.62341399267913,160.6203403971125,71.57883416507052,0.2982174966463766,92.96526191396455,69.86470073155279,273.82704984982263,57.632813706529355,129.086411135584,101.04327761401842,279.620366033299,71.57883416507052
2886,80.91999999999999,281.1688026739415,107.50789240329303,123.18212151088127,86.35397193594932,-0.6228240748242251,131.29135440579384,109.52626224442214,107.88442638606875,148.08951090255422,98.24199999999999,89.66484321033812,106.78495656640115,86.35397193594932
2887,522.4,372.55769551245163,91.39260543478058,95.00007097320456,121.29720384194641,-0.6228240748242251,295.18094853557454,148.49375298086036,90.79296609810041,104.06149146905163,495.9119254658384,455.1880681214315,112.33147630566111,121.29720384194641
2888,260.3846153846154,316.02922654869315,114.38704108562813,263.37784948216046,326.4519756530168,-0.5730380439339223,188.03808355023222,158.61496978282122,489.45357958719023,156.20091364912395,229.18958360937313,208.43287258813174,504.0144114615953,326.4519756530168
2889,583.4666666666666,607.6047619047619,114.38704108562813,220.3844057829919,264.38454771040415,-1.120684383727253,517.5989110200803,314.7019553860146,232.25655799410129,225.7444817946866,582.1066666666665,771.0042236857647,233.68267434706854,264.38454771040415
2890,184.6590909090909,426.15803222444606,114.38704108562813,155.06550114402555,97.45142380024251,-0.7721821674951335,177.21317085726412,165.6477781190393,149.9567676004964,126.21706481328752,174.02391304347825,177.90953868977365,139.0166711406597,97.45142380024251
2891,74.74311926605505,372.55769551245163,61.61101732876044,259.83747273492565,26.64107561497488,3.55920251996121,116.77633807131448,57.10059231604606,248.24704648633394,29.230446067935908,61.633980297965785,68.36511456678102,247.45880772722785,26.64107561497488
2892,163.69565217391303,378.472274776879,114.38704108562813,395.884918863191,244.56577125771742,0.42268257387213354,189.67486876879312,127.6378608370522,613.1693654383515,113.22626664476493,148.51183010645212,170.6274925261398,627.0687321342027,244.56577125771742
2893,469.2307692307692,482.2290239148305,114.38704108562813,332.1034865710158,285.37093285681215,-1.2202564455078586,385.76015825041947,291.55991307671854,426.79881833666013,138.70572697034714,497.21794871794873,419.6664557262882,431.67825179908004,285.37093285681215
2894,-8.571428571428571,426.15803222444606,12.539948207515314,357.05990452307276,105.4350715122486,-0.12496376592119718,97.68921828770145,0.1134104492916589,352.9833235505231,124.54123802650625,37.517028239493825,0.16129255905818154,349.616927607285,105.4350715122486
2895,180.0,460.23197812874696,114.38704108562813,321.2929111205886,130.7077062345405,-0.6228240748242251,151.3042117567576,147.26162557049858,304.57839414258797,140.935662589347,174.5,173.5546507204731,306.1496750978496,130.7077062345405
2896,126.66666666666666,357.2516794479639,73.62341399267913,140.03713142173604,61.399850855556366,0.3728965429818307,104.0413810051358,81.86667295718324,149.30235413465493,65.3978406082438,165.79816486067233,89.31299410035649,150.59192963150986,61.399850855556366
2897,79.74683544303798,331.7147686457852,12.78857923078217,64.28695871689295,60.99213295466022,0.0990733730851654,76.91625493201114,59.937996073435414,46.691697544277645,80.24396859692862,81.660363977326,76.93091743199628,39.36704843336071,60.99213295466022
2898,85.93650793650794,307.84395521652476,114.38704108562813,96.92849421884212,99.76337855534577,-0.29921487403725694,117.41274638180894,117.00900801477464,97.23445668554649,116.64905002185485,105.21312752219532,73.34442212723344,96.62508121416795,99.76337855534577
2899,93.74509803921569,411.05934737157423,114.38704108562813,128.85778624271737,85.65823356671262,-0.5979310593790738,99.2766949897459,96.85522323451504,107.4185818418016,123.15636336398605,100.45591827780063,112.08838129340288,104.60337185075821,85.65823356671262
2900,73.9961759082218,411.05934737157423,114.38704108562813,102.74687515957419,93.44672600719372,-0.04480825618780971,87.80723285750089,91.96239468587119,90.6974362218478,101.75842802173229,73.99617590822176,73.99617590822169,89.07137472302117,93.44672600719372
2901,107.74999999999999,460.23197812874696,73.62341399267913,131.30522100973337,70.93330908878549,-0.8717542292757391,141.2152756141474,88.53898867878888,132.25231944609607,79.78526799007275,139.89545299145297,130.67915583921936,135.2785792082684,70.93330908878549
2902,135.0,411.05934737157423,114.38704108562813,258.6574131013584,227.77414529358992,-0.8717542292757391,179.59167133131922,155.83857377880656,225.0711005548343,242.62209511764405,135.0,135.00000000000014,223.40687196242277,227.77414529358992
2903,125.0,361.3273048057633,114.38704108562813,239.51720242215788,143.56382517711563,-0.8717542292757391,160.3789442403678,149.17799738331837,208.9353861641681,163.67552529122838,125.0,125.00000000000004,207.21334195847749,143.56382517711563
2904,128.8156288156288,245.4986969270589,91.39260543478058,-3.453045334506079,65.70216390366495,0.17126311787610457,107.19991494942843,103.25002484943549,-1.2907410081469948,83.91563268731042,128.75347277083364,109.45086515593476,-1.3175545193530525,65.70216390366495
