artists,date,TM_id,event_title,presale_date_end,presale_date_start,promoter,TM_sale_date_start,span multiple days,venue,TM_venue _lat,venue_city,TM_venue_long,venue_state,TM_max,TM_min,genre,subGenre,event_type,SG_artists_score,SG_average_price,SG_listing_count,SG_max_price,SG_min_price,SG_venue_score,SH_max_price,SH_min_price,SH_total_postings,SH_total_tickets,spotify_followers,spotify_popularity,spotify_avg_followers,spotify_avg_popularity,spotify_null_count,days_until_show,day_of_week,presale_length,days_on_sale,artist_count,avg_resale_min,avg_resale_max,min_source,max_source,min_markup%,max_markup%,avg_ticket_listings
['Excision'],2018-02-08 01:30:00,vvG1zZfVowMoxL,Excision,2017-10-19 02:00:00,2017-10-18 14:00:00,LIVE NATION MUSIC,2017-10-19 17:00:00,False,The Ritz,35.815896,Raleigh,-78.619991,NC,35.0,25.0,Dance/Electronic,Club Dance,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.5400000215'],80.5,62.0,578.0,45.0,0.5263450146,607.3,52.77,17.0,94.0,[245665.0],[65.0],245665.0,65.0,0,63,3,0.5,49.0,1.0,48.885000000000005,592.65,Both,Both,95.54000000000002,1593.2857142857142,78.0
['Fetty Wap'],2018-02-19 01:00:00,vvG1zZfMfb0nWg,Fetty Wap - The FMF Tour,2017-12-01 03:00:00,2017-11-28 15:00:00,LIVE NATION MUSIC,2017-12-01 15:00:00,False,The Ritz,35.815896,Raleigh,-78.619991,NC,35.0,35.0,Hip-Hop/Rap,Urban,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.5'],85.0,61.0,529.0,66.0,0.5263450146,177.68,70.1,16.0,76.0,[2690876.0],[85.0],2690876.0,85.0,0,74,0,2.5,8.0,1.0,68.05,353.34000000000003,Both,Both,94.42857142857142,909.5428571428572,68.5
['Gregory Porter'],2018-03-05 01:00:00,vvG1zZfiLg0ptC,Gregory Porter,2018-01-06 03:00:00,2017-11-28 18:00:00,PROMOTED BY VENUE,2017-06-20 15:00:00,False,Carolina Theatre ,35.9981252,Durham,-78.9017398,NC,103.38,35.0,Jazz,Jazz,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.5400000215'],223.0,31.0,385.0,66.0,0.4860759974,,,,,[228241.0],[69.0],228241.0,69.0,0,88,0,38.375,8.0,1.0,66.0,385.0,SG,SG,88.57142857142857,272.41245888953375,31.0
['Snarky Puppy'],2018-02-18 01:00:00,vvG1zZfU69agsk,Snarky Puppy,2017-11-10 03:00:00,2017-11-09 15:00:00,LIVE NATION MUSIC,2017-11-10 15:00:00,False,The Ritz,35.815896,Raleigh,-78.619991,NC,35.0,35.0,Jazz,Jazz,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],138.2700042725,41.0,578.0,66.0,0.5263450146,607.3,74.42,10.0,58.0,[222506.0],[59.0],222506.0,59.0,0,73,6,0.5,27.0,1.0,70.21000000000001,592.65,Both,Both,100.60000000000002,1593.2857142857142,49.5
"[""Scott Bradlee's Postmodern Jukebox""]",2018-02-22 01:00:00,vvG1zZfV9kW9US,Scott Bradlee's Postmodern Jukebox,2017-10-13 02:00:00,2017-10-11 14:00:00,Other,2017-10-13 14:00:00,False,Duke Energy Center for the Performing Arts,35.771467,Raleigh,-78.639555,NC,87.15,67.15,Undefined,Undefined,"{'id': 'KZFzBErXgnZfZ7vAAI', 'name': 'Tribute Band'}",,,,,,,147.7,135.7,5.0,18.0,[394188.0],[70.0],394188.0,70.0,0,77,3,1.5000000000000002,56.0,1.0,135.7,147.7,SH,SH,102.08488458674606,69.47791164658632,18.0
['Lalah Hathaway'],2018-02-10 01:00:00,vvG1zZfgCd4e4I,Lalah Hathaway,2018-02-05 03:00:00,2017-10-27 14:00:00,PROMOTED BY VENUE,2017-10-27 14:00:00,False,Cone Denim Entertainment Center,36.071838,Greensboro,-79.789925,NC,65.0,35.0,R&B,R&B,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4499999881'],74.0,23.0,408.0,64.0,0.5295770168,,,,,[96186.0],[61.0],96186.0,61.0,0,65,5,100.54166666666667,40.0,1.0,64.0,408.0,SG,SG,82.85714285714286,527.6923076923077,23.0
['Arlo Guthrie'],2018-02-11 01:00:00,vvG1zZfU68Tg5S,Arlo Guthrie,2017-11-10 03:00:00,2017-11-08 15:00:00,Other,2017-11-10 15:00:00,False,Carolina Theatre ,35.9981252,Durham,-78.9017398,NC,102.19,36.88,Folk,Folk,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4900000095', '0.4699999988']",113.5,115.0,468.0,74.0,0.4860759974,463.49,115.3,14.0,38.0,[37755.0],[50.0],37755.0,50.0,0,66,6,1.5000000000000002,28.0,1.0,94.65,465.745,Both,Both,156.64316702819957,355.7637733633428,76.5
['Rosanne Cash'],2018-04-04 00:00:00,vvG1zZfETFAi3N,Rosanne Cash,2017-10-20 02:00:00,2017-10-18 14:00:00,Other,2017-10-20 14:00:00,False,Duke Energy Center for the Performing Arts,35.771467,Raleigh,-78.639555,NC,72.15,52.15,Country,Country,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",,,,,,,169.3,116.5,5.0,33.0,[35724.0],[51.0],35724.0,51.0,0,118,2,1.5000000000000002,49.0,1.0,116.5,169.3,SH,SH,123.39405560882071,134.65003465003466,33.0
['The Dixie Dregs'],2018-03-07 01:00:00,vvG1zZfwMzv658,The Dixie Dregs,2017-09-22 02:00:00,2017-09-20 14:00:00,Other,2017-09-22 14:00:00,False,Carolina Theatre ,35.9981252,Durham,-78.9017398,NC,102.19,42.03,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4799999893'],110.0,59.0,315.0,87.0,0.4860759974,327.75,97.3,11.0,34.0,[nan],[nan],136224.0,61.333333333333336,1,90,2,1.5000000000000002,77.0,1.0,92.15,321.375,Both,Both,119.2481560789912,214.48771895488795,46.5
"['Judah & the Lion', 'Colony House', 'Tall Heights']",2018-04-15 00:00:00,vvG1zZfgBl0KYM,Judah & the Lion - Going to Mars Tour,2017-11-03 02:00:00,2017-11-01 14:00:00,PROMOTED BY VENUE,2017-11-03 14:00:00,False,Cone Denim Entertainment Center,36.071838,Greensboro,-79.789925,NC,55.0,25.0,Folk,Folk,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4399999976', '0.4900000095']",88.7799987793,67.0,585.0,46.0,0.5295770168,1335.82,51.35,15.0,81.0,"[116252.0, 56652.0, 27412.0]","[67.0, 58.0, 69.0]",66772.0,64.66666666666667,0,129,6,1.5000000000000002,35.0,3.0,48.675,960.41,Both,Both,94.69999999999999,1646.2,74.0
