Unnamed: 0,artists,date,TM_id,event_title,presale_date_end,presale_date_start,promoter,TM_sale_date_start,span multiple days,venue,TM_venue _lat,venue_city,TM_venue_long,venue_state,TM_max,TM_min,genre,subGenre,event_type,SG_artists_score,SG_average_price,SG_listing_count,SG_max_price,SG_min_price,SG_venue_score,SH_max_price,SH_min_price,SH_total_postings,SH_total_tickets,spotify_followers,spotify_popularity,spotify_avg_followers,spotify_avg_popularity,spotify_null_count,days_until_show,presale_length,days_on_sale
7056,"['Eagles', 'Jimmy Buffett']",2018-04-14 23:00:00,1AxZAusGkdYF55o,Eagles,2018-04-14 23:00:00,2017-11-28 15:00:00,LIVE NATION MUSIC,2017-12-02 15:00:00,False,Camping World Stadium,28.538255,Orlando,-81.402071,FL,496.5,96.5,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.7099999785', '0.7300000191']",413.5,1257.0,3358.0,168.0,0.8329979777,3855.12,172.97,440.0,1757.0,"[1067588.0, 153026.0]","[79.0, 68.0]",610307.0,73.5,0,128,137.0,4.0
7058,['House of Blues Gospel Brunch'],2018-03-11 17:00:00,1axZAGJPPJkZeG6,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,94,,81.0
7059,['House of Blues Gospel Brunch'],2018-04-15 14:30:00,16xZAGJP4ZAuakGd,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,129,,81.0
7060,['House of Blues Gospel Brunch'],2018-04-01 14:30:00,1axZAGJP4QAZe5d,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,115,,81.0
7066,['House of Blues Gospel Brunch'],2018-08-05 14:30:00,1axZAGJP_pAZe86,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,241,,81.0
7073,['House of Blues Gospel Brunch'],2018-02-25 15:30:00,15eFZfwQ48bp3,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,80,,81.0
7074,['Fleet Foxes'],2018-03-04 00:30:00,1AxZACvGketMnpM,Fleet Foxes,2017-12-08 03:00:00,2017-12-06 15:00:00,HOUSE OF BLUES CONCERTS (HOB),2017-12-08 15:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,85.75,37.0,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.6100000143'],125.5,22.0,5945.0,93.0,0.5426189899,1340.5,100.3,14.0,100.0,[614605.0],[73.0],614605.0,73.0,0,87,1.0,-2.0
7083,['House of Blues Gospel Brunch'],2018-05-06 17:00:00,1axZAGJPEQkZeCF,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,150,,81.0
7087,['House of Blues Gospel Brunch'],2018-06-10 14:30:00,1axZAGJP9JAZeC6,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,185,,81.0
7089,['House of Blues Gospel Brunch'],2018-06-17 14:30:00,16xZAGJP9ZAuakC5,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,192,,81.0
7096,['House of Blues Gospel Brunch'],2018-07-15 17:00:00,16xZAGJPtZACaFvA,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,220,,81.0
7097,['House of Blues Gospel Brunch'],2018-07-15 14:30:00,16xZAGJPbZAGak2k,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,220,,81.0
7098,['House of Blues Gospel Brunch'],2018-07-22 17:00:00,16eFZfwQpG7IFjk,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,227,,81.0
7101,['House of Blues Gospel Brunch'],2018-07-29 14:30:00,1axZAGJP_1AZe2u,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,234,,81.0
7102,['House of Blues Gospel Brunch'],2018-08-05 17:00:00,16eFZfwQpG7tzjG,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,241,,81.0
7109,['House of Blues Gospel Brunch'],2018-09-02 17:00:00,16eFZfwQ4G7Wb_N,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,269,,81.0
7111,['House of Blues Gospel Brunch'],2018-09-09 17:00:00,16eFZfwQ4G7Xb_P,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,276,,81.0
7114,['House of Blues Gospel Brunch'],2018-09-16 14:30:00,16eFZfwQ4G7lbb3,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,283,,81.0
7115,['House of Blues Gospel Brunch'],2018-09-23 14:30:00,16eFZfwQ4G7iFbf,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,290,,81.0
7116,['House of Blues Gospel Brunch'],2018-09-23 17:00:00,11FOvKatbv-JvC,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,290,,81.0
7126,['House of Blues Gospel Brunch'],2018-10-28 14:30:00,16eFZfwQ4G7sFbS,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,325,,81.0
7137,['House of Blues Gospel Brunch'],2018-12-09 15:30:00,16eFZfwQ4G7Uz_G,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,367,,81.0
7138,['House of Blues Gospel Brunch'],2018-12-09 18:00:00,16xZAGJPxZA5a61k,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4699999988'],,,,,0.5426189899,,,,,[nan],[nan],,,1,367,,81.0
7185,['House of Blues Gospel Brunch'],2018-05-20 14:30:00,16xZAGJPpZA2aku2,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,164,,81.0
7233,['House of Blues Gospel Brunch'],2018-04-08 14:30:00,1axZAGJP4JAZe55,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,122,,81.0
7234,['House of Blues Gospel Brunch'],2018-05-27 14:30:00,1axZAGJP91AZeCv,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,171,,81.0
7235,['House of Blues Gospel Brunch'],2018-06-03 14:30:00,1axZAGJP9pAZeCd,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,178,,81.0
7238,['House of Blues Gospel Brunch'],2018-04-22 14:30:00,1axZAGJPpeAZeGA,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,136,,81.0
7239,['House of Blues Gospel Brunch'],2018-06-03 17:00:00,1axZAGJPIpkZe2G,House of Blues Gospel Brunch,,,HOUSE OF BLUES CONCERTS (HOB),2017-09-16 14:00:00,False,House of Blues Orlando,28.370393,Orlando,-81.504616,FL,43.0,43.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],,,,,0.5426189899,,,,,[nan],[nan],,,1,178,,81.0
7240,['Warriors Rock In Concert'],2018-05-05 23:00:00,vv1AeZAuoGkdg7Uda,Warriors Rock In Concert,,,PROMOTED BY VENUE,2017-10-20 15:00:00,False,Scottish Rite Auditorium,39.9143873,Collingswood,-75.0849289,NJ,25.0,25.0,Undefined,Undefined,"{'id': 'KZFzBErXgnZfZ7vAAI', 'name': 'Tribute Band'}",['0.4099999964'],220.0,16.0,337.0,51.0,0.5314109921,,,,,[nan],[nan],,,1,149,,47.0
7241,['Ella Vos'],2018-03-07 01:00:00,vv17FZfMGkmfrN9O,Ella Vos,2017-12-07 15:00:00,2017-12-05 15:00:00,LIVE NATION MUSIC,2017-12-08 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,15.0,15.0,Rock,Alternative Rock,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4399999976'],,,,,0.48983800409999995,,,,,[45694.0],[72.0],45694.0,72.0,0,90,2.0,-2.0
7242,['Ella Vos'],2018-03-07 01:00:00,vv17FZfMGkmfrN9O,Ella Vos,2017-12-07 15:00:00,2017-12-05 15:00:00,LIVE NATION MUSIC,2017-12-08 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,15.0,15.0,Rock,Alternative Rock,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4399999976'],,,,,0.48983800409999995,,,,,[45694.0],[72.0],45694.0,72.0,0,90,2.0,-2.0
